"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.256113500E0,2.051172845E0,2.167412569E0,9.011930493E-1,3.117232137E0
2.266125500E0,2.064184070E0,2.252161528E0,1.331893984E0,3.332720961E0
2.276137500E0,1.770987135E0,2.091810994E0,1.400853707E0,3.078061042E0
2.286149500E0,1.456244965E0,1.960935690E0,1.372185101E0,2.801572796E0
2.296161500E0,1.331849545E0,1.998272501E0,1.165398611E0,2.669282698E0
2.306173500E0,1.455881268E0,2.215311205E0,9.649933349E-1,2.821064718E0
2.316185500E0,1.838901960E0,2.584105037E0,7.886277160E-1,3.268194140E0
2.326197500E0,1.938295856E0,2.893727970E0,5.648948264E-1,3.528421538E0
2.336209500E0,1.437132756E0,2.955112624E0,3.392732862E-1,3.303505342E0
2.346220500E0,6.737319750E-1,2.763796406E0,1.581721535E-1,2.849123335E0
2.356232500E0,3.837527633E-1,2.411212226E0,2.240240809E-1,2.451815117E0
2.366244500E0,7.929093397E-1,2.189153686E0,7.352819596E-1,2.441667185E0
2.376256500E0,1.702941332E0,2.190292139E0,1.564733620E0,3.185244125E0
2.386268500E0,2.840824116E0,2.269168739E0,2.476597545E0,4.399198089E0
2.396280500E0,3.672504004E0,2.291512704E0,3.066866656E0,5.305090689E0
2.406292500E0,3.695492333E0,2.088017321E0,3.088329738E0,5.249215226E0
2.416304500E0,2.601996932E0,1.571130474E0,2.575645285E0,3.984066721E0
2.426316500E0,8.200866133E-1,7.455433846E-1,1.710321396E0,2.038032450E0
2.436328500E0,-8.411172938E-1,1.123343682E-1,9.911034916E-1,1.304754170E0
2.446340500E0,-1.940106153E0,-2.313292998E-1,6.737926398E-1,2.066765989E0
2.456351500E0,-2.135481509E0,-3.000563031E-1,6.502061413E-1,2.252350569E0
2.466363500E0,-1.627246787E0,-2.583989847E-1,8.735354269E-1,1.864877015E0
2.476375500E0,-7.842730021E-1,-1.859122217E-1,1.097093923E0,1.361345868E0
2.486387500E0,-3.044996023E-2,-1.873635006E-1,1.153125890E0,1.168645199E0
2.496399500E0,6.294913566E-1,-2.602589840E-1,1.127429132E0,1.317228361E0
2.506411500E0,1.074815885E0,-3.659678721E-1,1.009556281E0,1.519330627E0
2.516423500E0,1.043477148E0,-5.579863411E-1,8.024765539E-1,1.429741912E0
2.526435500E0,6.072543955E-1,-9.324484634E-1,4.746885149E-1,1.209771559E0
2.536447500E0,-1.581689376E-1,-1.429999153E0,9.193445608E-2,1.441654235E0
2.546459500E0,-9.997528392E-1,-1.937477245E0,-2.636306347E-1,2.196093105E0
2.556471500E0,-1.668471996E0,-2.323613334E0,-4.576751639E-1,2.896971571E0
2.566483500E0,-2.084168683E0,-2.544229950E0,-6.780811340E-1,3.358073728E0
2.576494500E0,-2.511336438E0,-2.683373217E0,-9.270409584E-1,3.790343977E0
2.586506500E0,-3.020372813E0,-2.808332893E0,-1.148100062E0,4.281065209E0
2.596518500E0,-3.307914321E0,-2.860347385E0,-1.355743607E0,4.578419492E0
2.606530500E0,-3.300782472E0,-2.771825218E0,-1.500921786E0,4.564093138E0
2.616542500E0,-3.095021877E0,-2.563959625E0,-1.548268299E0,4.306992466E0
2.626554500E0,-2.895434187E0,-2.341258476E0,-1.526109252E0,4.024181884E0
2.636566500E0,-2.790929241E0,-2.180155406E0,-1.477744008E0,3.837458921E0
2.646578500E0,-2.572283721E0,-2.014444730E0,-1.394155867E0,3.552224893E0
2.656590500E0,-2.358431164E0,-1.812485409E0,-1.315576159E0,3.252390128E0
2.666602500E0,-2.386297240E0,-1.636129877E0,-1.427021897E0,3.226100895E0
2.676614500E0,-2.537024426E0,-1.503372939E0,-1.640179074E0,3.374434845E0
2.686626500E0,-2.545757242E0,-1.353997044E0,-1.717818988E0,3.356350698E0
2.696637500E0,-2.421948883E0,-1.157782028E0,-1.648138596E0,3.150024833E0
2.706649500E0,-2.174854905E0,-8.970476657E-1,-1.644377375E0,2.870307531E0
2.716661500E0,-1.734095297E0,-6.378014195E-1,-1.558860384E0,2.417420701E0
2.726673500E0,-1.092272748E0,-3.469258296E-1,-1.477396098E0,1.869790501E0
2.736685500E0,-3.116565943E-1,4.570476115E-2,-1.239163283E0,1.278571234E0
2.746697500E0,2.442481381E-1,4.536398542E-1,-6.391822395E-1,8.209751552E-1
2.756709500E0,4.425634736E-1,7.160693246E-1,5.585231155E-2,8.436451781E-1
2.766721500E0,3.135674644E-1,8.351583964E-1,6.832717073E-1,1.123687825E0
2.776733500E0,1.457067668E-1,9.168714809E-1,1.437880615E0,1.711544460E0
2.786745500E0,3.452330607E-1,1.076638463E0,2.313343869E0,2.574858462E0
2.796757500E0,8.448636049E-1,1.275101148E0,2.793796715E0,3.185118135E0
2.806769500E0,1.421231253E0,1.463199643E0,2.831514180E0,3.489745553E0
2.816780500E0,2.174505242E0,1.732108414E0,2.524209668E0,3.755037556E0
2.826792500E0,2.878785410E0,2.124347826E0,2.075565090E0,4.136209565E0
2.836804500E0,3.181526754E0,2.529954557E0,1.643433634E0,4.384479064E0
2.846816500E0,2.862809647E0,2.730046277E0,1.172566128E0,4.125983892E0
2.856828500E0,2.036716189E0,2.616813192E0,7.012119882E-1,3.389339518E0
2.866840500E0,1.316518146E0,2.334932374E0,2.304105560E-1,2.690393697E0
2.876852500E0,1.204949178E0,2.183922182E0,5.916841373E-2,2.494978862E0
2.886864500E0,1.628161876E0,2.258235031E0,2.674528134E-1,2.796795945E0
2.896876500E0,2.275572610E0,2.243374332E0,5.837284157E-1,3.248337723E0
2.906888500E0,3.005187594E0,2.006429951E0,6.766082203E-1,3.676236161E0
2.916900500E0,3.767141774E0,1.749574047E0,6.290298651E-1,4.200957637E0
2.926912500E0,4.463068610E0,1.615203862E0,5.718495047E-1,4.780677441E0
2.936923500E0,4.826112290E0,1.423765436E0,5.254945332E-1,5.059111815E0
2.946935500E0,4.547438085E0,9.843150204E-1,2.877017212E-1,4.661635065E0
2.956947500E0,3.576140136E0,3.050398850E-1,1.674350202E-3,3.589126692E0
2.966959500E0,2.508861312E0,-3.304442829E-1,-1.074133515E-1,2.532807954E0
2.976971500E0,1.745970408E0,-7.962814289E-1,-5.058835566E-2,1.919644748E0
2.986983500E0,1.287935786E0,-1.126768396E0,4.040192127E-2,1.711729513E0
2.996995500E0,9.712716365E-1,-1.372080728E0,7.202571005E-2,1.682605663E0
3.007007500E0,6.873887318E-1,-1.602223043E0,-5.708198100E-2,1.744385365E0
3.017019500E0,3.936187702E-1,-1.775822783E0,-3.165787804E-1,1.846267699E0
3.027031500E0,1.339842689E-1,-1.857798407E0,-5.540529191E-1,1.943281077E0
3.037043500E0,-1.316167313E-1,-1.877652043E0,-8.516721028E-1,2.065973265E0
3.047055500E0,-4.907012612E-1,-1.946819927E0,-1.218599649E0,2.348591207E0
3.057066500E0,-9.385541260E-1,-2.004782206E0,-1.555560215E0,2.705513468E0
3.067078500E0,-1.339358540E0,-2.024571522E0,-1.681295671E0,2.952884400E0
3.077090500E0,-1.628114514E0,-1.997878983E0,-1.661937733E0,3.066645452E0
3.087102500E0,-1.822291190E0,-1.978843957E0,-1.734997084E0,3.201059742E0
3.097114500E0,-2.050959422E0,-2.008794565E0,-1.944355910E0,3.467305879E0
3.107126500E0,-2.334638844E0,-2.064979291E0,-2.160672483E0,3.792516787E0
