"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.539361083E0,-3.067654715E-1,-1.393066970E-1,-2.397980561E0,2.421533023E0
1.549399083E0,-3.058480433E-1,-6.316235438E-2,-2.407531403E0,2.427702611E0
1.559437083E0,-2.308765791E-1,-1.367634505E-2,-2.388686412E0,2.399857040E0
1.569474083E0,-5.737054110E-2,4.930109113E-2,-2.344920003E0,2.346139765E0
1.579512083E0,2.677191541E-2,1.325014150E-1,-2.344124781E0,2.348019240E0
1.589550083E0,1.261120163E-1,2.437943941E-1,-2.373936226E0,2.389751692E0
1.599588083E0,2.374691686E-1,3.692366119E-1,-2.373159131E0,2.413423200E0
1.609626083E0,3.135927536E-1,5.039702015E-1,-2.342608014E0,2.416637889E0
1.619664083E0,3.493699658E-1,6.958416130E-1,-2.311241210E0,2.438870815E0
1.629701083E0,4.799159257E-1,8.110251832E-1,-2.304308751E0,2.489562203E0
1.639739083E0,5.412893245E-1,8.349781559E-1,-2.254501584E0,2.464337648E0
1.649777083E0,4.494503242E-1,8.693644617E-1,-2.193570673E0,2.401989271E0
1.659815083E0,3.579530936E-1,8.859462883E-1,-2.070596126E0,2.280438458E0
1.669853083E0,2.960481830E-1,8.902356595E-1,-1.857563934E0,2.081035277E0
1.679891083E0,2.344464505E-1,8.693380031E-1,-1.624704418E0,1.857519353E0
1.689929083E0,1.743399972E-1,8.385225919E-1,-1.393028378E0,1.635250022E0
1.699966083E0,2.052165118E-1,7.880289611E-1,-1.096651143E0,1.365923566E0
1.710004083E0,2.110140261E-1,6.582394847E-1,-8.194381571E-1,1.072047122E0
1.720042083E0,2.289404199E-1,4.944974197E-1,-5.279117721E-1,7.587043252E-1
1.730080083E0,2.302770934E-1,2.996689251E-1,-1.389356911E-1,4.026563431E-1
1.740118083E0,2.166416788E-1,8.663424745E-2,3.667666018E-1,4.346916724E-1
1.750156083E0,1.751466206E-1,-1.083392581E-1,9.407906860E-1,9.630684547E-1
1.760194083E0,1.068768695E-1,-2.147794868E-1,1.535173606E0,1.553805294E0
1.770231083E0,9.649075270E-2,-1.721284340E-1,2.032448307E0,2.042005089E0
1.780269083E0,2.009416124E-1,-6.514529139E-3,2.394652911E0,2.403077721E0
1.790307083E0,3.611746171E-1,2.536625938E-1,2.629472998E0,2.666255814E0
1.800345083E0,5.403271651E-1,4.253429849E-1,2.725101871E0,2.810524917E0
1.810383083E0,6.719447735E-1,5.315816309E-1,2.662809144E0,2.797256039E0
1.820421083E0,7.091909525E-1,6.606771889E-1,2.368773719E0,2.559401314E0
1.830458083E0,8.058354869E-1,7.003970325E-1,2.013947132E0,2.279453857E0
1.840496083E0,1.110716328E0,5.844957896E-1,1.909394823E0,2.284975859E0
1.850534083E0,1.497333642E0,4.778559516E-1,2.094728170E0,2.618824250E0
1.860572083E0,1.798097166E0,3.647659770E-1,2.490011643E0,3.092954189E0
1.870610083E0,1.904550405E0,5.870976544E-1,3.012794822E0,3.612330070E0
1.880648083E0,1.920706261E0,9.534374095E-1,3.592100696E0,4.183460630E0
1.890686083E0,1.613628037E0,1.139140008E0,4.094564216E0,4.546085296E0
1.900723083E0,8.908776838E-1,1.125271071E0,4.302107627E0,4.535198790E0
1.910761083E0,-2.369350255E-2,9.590334141E-1,4.215449553E0,4.323230436E0
1.920799083E0,-7.724338523E-1,6.509518806E-1,3.844656558E0,3.975144835E0
1.930837083E0,-1.074755074E0,1.793112634E-1,3.303254675E0,3.478324661E0
1.940875083E0,-1.072969042E0,-2.075276969E-1,2.658679841E0,2.874527580E0
1.950913083E0,-9.490411073E-1,-4.591941974E-1,1.913587276E0,2.184800814E0
1.960951083E0,-8.117595935E-1,-6.032696642E-1,1.120377975E0,1.509349108E0
1.970988083E0,-6.927307481E-1,-6.629823806E-1,2.489247411E-1,9.906488041E-1
1.981026083E0,-6.468192878E-1,-6.427276987E-1,-5.889017397E-1,1.085485764E0
1.991064083E0,-5.550074771E-1,-5.522109731E-1,-1.302389519E0,1.519601499E0
2.001102083E0,-3.665093243E-1,-3.987640277E-1,-1.826416401E0,1.905029843E0
2.011140083E0,-2.630641857E-1,-1.892028154E-1,-2.193395256E0,2.217201665E0
2.021178083E0,-2.658983311E-1,5.126794830E-2,-2.451581987E0,2.466492361E0
2.031215083E0,-4.087575039E-1,3.381401689E-1,-2.597174733E0,2.650799514E0
2.041253083E0,-6.355537498E-1,6.089140546E-1,-2.680496972E0,2.821306242E0
2.051291083E0,-9.665655050E-1,7.558158461E-1,-2.696379763E0,2.962426421E0
2.061329083E0,-1.160862049E0,7.387353983E-1,-2.560621449E0,2.906907789E0
2.071367083E0,-1.315658020E0,6.867483886E-1,-2.328846007E0,2.761539987E0
2.081403958E0,-1.442626508E0,6.391383854E-1,-2.059206920E0,2.594224789E0
2.091441958E0,-1.474211705E0,5.750790681E-1,-1.798471972E0,2.395520303E0
2.101478958E0,-1.436727544E0,5.178598237E-1,-1.605489882E0,2.215843540E0
2.111516958E0,-1.425659057E0,4.653510962E-1,-1.471245412E0,2.100861360E0
2.121554958E0,-1.599428074E0,5.285689261E-1,-1.427970754E0,2.208315138E0
2.131592958E0,-1.862339062E0,7.527441575E-1,-1.366218309E0,2.429296816E0
2.141630958E0,-1.908315134E0,9.264758981E-1,-1.181735147E0,2.428275561E0
2.151668958E0,-1.661474048E0,9.407891511E-1,-9.456561542E-1,2.130691391E0
2.161705958E0,-1.225227907E0,8.578528290E-1,-5.975573730E-1,1.610642640E0
2.171743958E0,-9.407728520E-1,9.862224553E-1,-2.677252936E-1,1.389015883E0
2.181781958E0,-7.308417302E-1,1.188104446E0,5.102865100E-3,1.394900659E0
2.191819958E0,-6.013984090E-1,1.262174124E0,2.082047313E-1,1.413546170E0
2.201857958E0,-6.991571304E-1,1.236065575E0,3.324411070E-1,1.458490963E0
2.211895958E0,-1.045992036E0,1.249419300E0,4.859235013E-1,1.700373363E0
2.221933958E0,-1.436386651E0,1.299900651E0,6.432755828E-1,2.041262303E0
2.231970958E0,-1.639480332E0,1.359112773E0,7.876328123E-1,2.270561326E0
2.242008958E0,-1.656358612E0,1.399613805E0,9.318584794E-1,2.360254833E0
2.252046958E0,-1.588891684E0,1.426716819E0,1.000644540E0,2.358259349E0
2.262084958E0,-1.618925614E0,1.515320847E0,9.518770069E-1,2.413128105E0
2.272122958E0,-1.692425115E0,1.608255615E0,8.257204056E-1,2.476409312E0
2.282160958E0,-1.594795617E0,1.651521210E0,5.743755019E-1,2.366601484E0
2.292197958E0,-1.523840532E0,1.635955776E0,2.462209886E-1,2.249236769E0
2.302235958E0,-1.489411249E0,1.679364190E0,-2.237472153E-1,2.255808673E0
2.312273958E0,-1.563920272E0,1.667089714E0,-7.523185533E-1,2.406453394E0
2.322311958E0,-1.723422667E0,1.526314635E0,-1.233188891E0,2.611623422E0
2.332349958E0,-1.971348119E0,1.425906979E0,-1.529647402E0,2.873890272E0
2.342387958E0,-2.113683966E0,1.260367772E0,-1.586533794E0,2.928015763E0
2.352425958E0,-2.119209585E0,1.116837559E0,-1.335853719E0,2.742787005E0
2.362462958E0,-2.263038811E0,1.058531097E0,-1.023116559E0,2.699740772E0
2.372500958E0,-2.580820656E0,9.962443636E-1,-7.859786350E-1,2.875917333E0
2.382538958E0,-3.055458154E0,9.428985342E-1,-7.015132660E-1,3.273683405E0
2.392576958E0,-3.457818511E0,8.558269881E-1,-6.830571145E-1,3.627053310E0
2.402614958E0,-3.432343947E0,7.282815269E-1,-7.466876847E-1,3.587327898E0
