"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.558093625E0,1.136740238E0,-3.128090805E-1,-9.579201043E-2,1.182879537E0
1.568123625E0,7.968019773E-1,-5.885514915E-2,-2.288389707E-1,8.310984262E-1
1.578153625E0,4.735750589E-1,5.415135652E-2,-2.238817012E-1,5.266200926E-1
1.588183625E0,4.290730700E-1,-8.700920016E-2,-2.244360173E-1,4.919815303E-1
1.598213625E0,3.563981728E-1,-3.813758701E-1,-1.470966500E-1,5.423141491E-1
1.608243625E0,5.777885216E-1,-6.726449776E-1,-4.257071203E-1,9.836246204E-1
1.618273625E0,8.899511924E-1,-9.532967108E-1,-7.908090198E-1,1.525177580E0
1.628303625E0,6.735656217E-1,-1.041228017E0,-7.623985684E-1,1.455712199E0
1.638333625E0,7.033947538E-1,-8.933987108E-1,-9.112856358E-1,1.457177733E0
1.648363625E0,8.399387875E-1,-5.734291300E-1,-1.393887334E0,1.725468062E0
1.658393625E0,4.133662793E-1,-4.775555509E-1,-1.487931027E0,1.616437356E0
1.668423625E0,1.024300620E-2,-3.722387186E-1,-1.498634940E0,1.544206355E0
1.678453625E0,-5.080163285E-2,-2.813630471E-1,-1.695818839E0,1.719752164E0
1.688483625E0,2.117411274E-1,1.543018815E-1,-1.549461277E0,1.571455893E0
1.698512625E0,3.901154110E-1,5.743810567E-1,-1.294981096E0,1.469380710E0
1.708542625E0,5.384221423E-1,1.671666330E-1,-7.706238467E-1,9.548320269E-1
1.718572625E0,3.436727312E-1,-6.117991439E-1,-4.758054793E-2,7.033299703E-1
1.728602625E0,1.702875844E-1,-8.992289695E-1,5.205998290E-1,1.052917273E0
1.738632625E0,4.728146285E-1,-7.208482540E-1,6.219607276E-1,1.063019767E0
1.748662625E0,1.116699784E0,-1.524372044E-1,3.875218785E-1,1.191817400E0
1.758692625E0,1.272850993E0,4.404467815E-1,3.373200238E-2,1.347323594E0
1.768722625E0,8.975413169E-1,7.655902711E-1,-1.155567688E-1,1.185353215E0
1.778752625E0,6.004682632E-1,5.623442709E-1,-1.300257039E-1,8.328864856E-1
1.788782625E0,4.192406845E-1,3.659237257E-1,-2.096554255E-1,5.946581556E-1
1.798812625E0,1.890303956E-1,2.642789447E-1,-1.163484818E-1,3.451272523E-1
1.808842625E0,-2.159758271E-1,6.831886768E-2,3.766559976E-1,4.395256149E-1
1.818872625E0,-3.080475466E-1,-2.198173016E-2,8.558826828E-1,9.098965074E-1
1.828902625E0,-7.165908962E-3,-6.141886085E-2,1.018247582E0,1.020123407E0
1.838932625E0,3.788133278E-1,-2.099150419E-4,1.104132655E0,1.167308229E0
1.848962625E0,7.147444917E-1,2.214776185E-1,1.207918394E0,1.420907763E0
1.858992625E0,8.576182826E-1,4.271528444E-1,1.236404859E0,1.564182102E0
1.869022625E0,8.379662293E-1,9.226713341E-1,8.889773387E-1,1.530944317E0
1.879052625E0,6.509985852E-1,1.148878181E0,9.706377983E-5,1.320499997E0
1.889082625E0,4.931509522E-1,1.111770873E0,-7.011419678E-1,1.403863382E0
1.899112625E0,2.701241139E-1,1.099891085E0,-1.254825343E0,1.690359156E0
1.909142625E0,1.773205423E-1,1.354693447E0,-1.782344767E0,2.245749269E0
1.919172625E0,1.691766134E-1,1.867572905E0,-2.157904412E0,2.858846049E0
1.929202625E0,6.783297868E-1,2.346079213E0,-3.432485157E0,4.212620720E0
1.939232625E0,1.299700677E0,2.250290419E0,-1.991891434E0,3.274241943E0
1.949262625E0,5.467642187E-1,1.512039974E0,1.495334771E0,2.195732696E0
1.959292625E0,-5.096668513E-1,3.435090092E-1,2.245391622E0,2.327991038E0
1.969322625E0,-4.911658955E-1,-5.433457902E-1,2.039155063E0,2.166707630E0
1.979352625E0,-4.319776013E-1,-5.981362474E-1,2.362274539E0,2.474815673E0
1.989382625E0,-5.005960657E-1,-3.718339451E-1,2.769514983E0,2.838850145E0
