"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.799974667E0,-1.213081339E0,-3.842222947E0,-6.124526871E0,7.331034914E0
1.810003667E0,-1.012560434E0,-3.102426791E0,-5.269936423E0,6.198593432E0
1.820032667E0,-3.564604457E-1,-3.059519922E0,-3.874533491E0,4.949720798E0
1.830061667E0,-2.557129200E-1,-2.962086014E0,-2.827730446E0,4.103096651E0
1.840090667E0,-5.115233423E-1,-2.325657520E0,-2.975222953E0,3.810812335E0
1.850120667E0,-1.768956397E0,-1.905277798E0,-3.980782662E0,4.754568416E0
1.860149667E0,-2.843046351E0,-1.321895830E0,-4.307753699E0,5.327951114E0
1.870178667E0,-3.423865777E0,-2.343534797E-1,-4.565511244E0,5.711538438E0
1.880207667E0,-3.150455820E0,4.997919273E-1,-3.977421098E0,5.098533361E0
1.890236667E0,-2.089754236E0,7.698075753E-1,-2.767566690E0,3.552337520E0
1.900265667E0,-1.289783506E0,5.535944974E-1,-1.852866281E0,2.324461618E0
1.910295667E0,-8.206586172E-1,-2.091812164E-1,-1.129003787E0,1.411342233E0
1.920324667E0,1.250134706E-3,-8.895834026E-1,-2.250265861E-1,9.176040308E-1
1.930353667E0,7.062221749E-1,-9.546366003E-1,3.874704230E-1,1.249085316E0
1.940382667E0,1.352085297E0,-1.027613068E0,6.662908083E-1,1.824298963E0
1.950411667E0,1.884964279E0,-1.261321015E0,7.873813820E-1,2.400831205E0
1.960440667E0,2.117708751E0,-1.469023470E0,6.000617355E-1,2.646279350E0
1.970470667E0,2.463218823E0,-1.539049433E0,-5.918785572E-2,2.905102981E0
1.980499667E0,3.260241679E0,-1.736595567E0,-8.832915062E-1,3.798044741E0
1.990528667E0,3.313587582E0,-1.612201901E0,-1.199948639E0,3.875426992E0
2.000557667E0,3.272988609E0,-1.347320985E0,-1.396906836E0,3.805138234E0
2.010586667E0,2.683024431E0,-1.084560563E0,-1.351010286E0,3.193762750E0
2.020615667E0,9.090905911E-1,-8.108866042E-1,-1.255358024E0,1.749258859E0
2.030645667E0,-5.544034013E0,4.923750266E-1,-2.070935850E0,5.938646444E0
2.040674667E0,-7.865878564E0,6.093120307E-2,-2.632169734E0,8.294822222E0
2.050703667E0,-4.267671036E0,-2.233207486E0,-3.032850772E0,5.691960606E0
2.060732667E0,-3.551236845E0,-2.913448874E0,-3.970842395E0,6.071824832E0
2.070761667E0,-2.402187194E0,-2.607732174E0,-3.379495935E0,4.898138746E0
